statement,source,nlp_score,committer,elicitation
Trees provide shade and beauty.,gpt-4o design point,Trees provide shade and beauty.,Mark,GPT-4o
Trees sway with the wind.,gpt-4o design point,Trees sway with the wind.,Mark,GPT-4o
Trees whisper soothing sounds.,gpt-4o design point,Trees whisper soothing sounds.,Mark,GPT-4o
Trigonometry studies angles and sides of triangles.,gpt-4o design point,Trigonometry studies angles and sides of triangles.,Mark,GPT-4o
Tropical rainforests are lush and green.,gpt-4o design point,Tropical rainforests are lush and green.,Mark,GPT-4o
Truth tables outline logical operations.,gpt-4o design point,Truth tables outline logical operations.,Mark,GPT-4o
Turkey's Cappadocia is surreal and captivating.,gpt-4o design point,Turkey's Cappadocia is surreal and captivating.,Mark,GPT-4o
Turkey's Cappadocia region features unique rock formations.,gpt-4o design point,Turkey's Cappadocia region features unique rock formations.,Mark,GPT-4o
Turn lights off to save energy.,gpt-4o design point,Turn lights off to save energy.,Mark,GPT-4o
Turning off notifications reduces distractions.,gpt-4o design point,Turning off notifications reduces distractions.,Mark,GPT-4o
Two plus two equals four.,gpt-4o design point,Two plus two equals four.,Mark,GPT-4o
Typing clean prevents germs.,gpt-4o design point,Typing clean prevents germs.,Mark,GPT-4o
USA spans multiple time zones.,gpt-4o design point,USA spans multiple time zones.,Mark,GPT-4o
Ukraine's cathedral spires are impressive.,gpt-4o design point,Ukraine's cathedral spires are impressive.,Mark,GPT-4o
Understanding gravity helps explain planetary orbits.,gpt-4o design point,Understanding gravity helps explain planetary orbits.,Mark,GPT-4o
Understanding precedes ethical action.,gpt-4o design point,Understanding precedes ethical action.,Mark,GPT-4o
Unified prayers hold power.,gpt-4o design point,Unified prayers hold power.,Mark,GPT-4o
Unity is strength.,gpt-4o design point,Unity is strength.,Mark,GPT-4o
Universalism believes in universal salvation.,gpt-4o design point,Universalism believes in universal salvation.,Mark,GPT-4o
Uplifting others builds morale.,gpt-4o design point,Uplifting others builds morale.,Mark,GPT-4o
Use data to inform decisions.,gpt-4o design point,Use data to inform decisions.,Mark,GPT-4o
Using hand sanitizer helps kill germs.,gpt-4o design point,Using hand sanitizer helps kill germs.,Mark,GPT-4o
Using planners improves organization.,gpt-4o design point,Using planners improves organization.,Mark,GPT-4o
Using please shows respect.,gpt-4o design point,Using please shows respect.,Mark,GPT-4o
Using sunscreen protects the skin.,gpt-4o design point,Using sunscreen protects the skin.,Mark,GPT-4o
Using timers helps manage time.,gpt-4o design point,Using timers helps manage time.,Mark,GPT-4o
VR creates immersive experiences.,gpt-4o design point,VR creates immersive experiences.,Mark,GPT-4o
Vacuuming keeps the carpet clean.,gpt-4o design point,Vacuuming keeps the carpet clean.,Mark,GPT-4o
Valid concerns merit attention.,gpt-4o design point,Valid concerns merit attention.,Mark,GPT-4o
Validation enhances self-worth.,gpt-4o design point,Validation enhances self-worth.,Mark,GPT-4o
Valuing input promotes inclusiveness.,gpt-4o design point,Valuing input promotes inclusiveness.,Mark,GPT-4o
Van Gogh’s Starry Night is a masterpiece.,gpt-4o design point,Van Gogh’s Starry Night is a masterpiece.,Mark,GPT-4o
Variables represent unknowns in equations.,gpt-4o design point,Variables represent unknowns in equations.,Mark,GPT-4o
Vector spaces have direction and magnitude.,gpt-4o design point,Vector spaces have direction and magnitude.,Mark,GPT-4o
Venice has many canals.,gpt-4o design point,Venice has many canals.,Mark,GPT-4o
Venn diagrams illustrate set relationships.,gpt-4o design point,Venn diagrams illustrate set relationships.,Mark,GPT-4o
Verifying facts strengthens arguments.,gpt-4o design point,Verifying facts strengthens arguments.,Mark,GPT-4o
Verifying information enhances credibility.,gpt-4o design point,Verifying information enhances credibility.,Mark,GPT-4o
Victoria Falls is located between Zambia and Zimbabwe.,gpt-4o design point,Victoria Falls is located between Zambia and Zimbabwe.,Mark,GPT-4o
Vincent van Gogh painted Starry Night.,gpt-4o design point,Vincent van Gogh painted Starry Night.,Mark,GPT-4o
Virtual meetings connect dispersed teams.,gpt-4o design point,Virtual meetings connect dispersed teams.,Mark,GPT-4o
Visiting art galleries broadens horizons.,gpt-4o design point,Visiting art galleries broadens horizons.,Mark,GPT-4o
Visiting farmers’ markets fosters local support.,gpt-4o design point,Visiting farmers’ markets fosters local support.,Mark,GPT-4o
Visiting parks for picnics creates joyful memories.,gpt-4o design point,Visiting parks for picnics creates joyful memories.,Mark,GPT-4o
Volcanoes erupt with lava.,gpt-4o design point,Volcanoes erupt with lava.,Mark,GPT-4o
Volunteering at shelters builds compassion.,gpt-4o design point,Volunteering at shelters builds compassion.,Mark,GPT-4o
Volunteering builds community.,gpt-4o design point,Volunteering builds community.,Mark,GPT-4o
Voting is a civic responsibility.,gpt-4o design point,Voting is a civic responsibility.,Mark,GPT-4o
WWI began in 1914.,gpt-4o design point,WWI began in 1914.,Mark,GPT-4o
Waits for no man.,gpt-4o design point,Waits for no man.,Mark,GPT-4o
Walking barefoot on grass feels grounding.,gpt-4o design point,Walking barefoot on grass feels grounding.,Mark,GPT-4o
Walking boosts energy.,gpt-4o design point,Walking boosts energy.,Mark,GPT-4o
Walking dogs offers mutual exercise.,gpt-4o design point,Walking dogs offers mutual exercise.,Mark,GPT-4o
Walking is a stress reliever.,gpt-4o design point,Walking is a stress reliever.,Mark,GPT-4o
Warm tea fosters relaxation.,gpt-4o design point,Warm tea fosters relaxation.,Mark,GPT-4o
Warmth in interactions invites trust.,gpt-4o design point,Warmth in interactions invites trust.,Mark,GPT-4o
"Waste not, want not.",gpt-4o design point,"Waste not, want not.",Mark,GPT-4o
Water boils at 100 degrees Celsius.,gpt-4o design point,Water boils at 100 degrees Celsius.,Mark,GPT-4o
Water expands when it freezes.,gpt-4o design point,Water expands when it freezes.,Mark,GPT-4o
Water lubricates joints.,gpt-4o design point,Water lubricates joints.,Mark,GPT-4o
Water molecules expand when frozen.,gpt-4o design point,Water molecules expand when frozen.,Mark,GPT-4o
Water's chemical formula is H2O.,gpt-4o design point,Water's chemical formula is H2O.,Mark,GPT-4o
Wearable tech monitors health metrics.,gpt-4o design point,Wearable tech monitors health metrics.,Mark,GPT-4o
Wearables can monitor vital signs.,gpt-4o design point,Wearables can monitor vital signs.,Mark,GPT-4o
Wearing a seatbelt saves lives.,gpt-4o design point,Wearing a seatbelt saves lives.,Mark,GPT-4o
Wearing comfortable shoes prevents foot pain.,gpt-4o design point,Wearing comfortable shoes prevents foot pain.,Mark,GPT-4o
Wearing supportive footwear improves posture.,gpt-4o design point,Wearing supportive footwear improves posture.,Mark,GPT-4o
Weather forecasts predict upcoming conditions.,gpt-4o design point,Weather forecasts predict upcoming conditions.,Mark,GPT-4o
Weather patterns influence agriculture.,gpt-4o design point,Weather patterns influence agriculture.,Mark,GPT-4o
Welcoming guests warmly is hospitable.,gpt-4o design point,Welcoming guests warmly is hospitable.,Mark,GPT-4o
Well-known landmarks foster tourism.,gpt-4o design point,Well-known landmarks foster tourism.,Mark,GPT-4o
Whales are mammals.,gpt-4o design point,Whales are mammals.,Mark,GPT-4o
"When it rains, it pours.",gpt-4o design point,"When it rains, it pours.",Mark,GPT-4o
When pigs fly.,gpt-4o design point,When pigs fly.,Mark,GPT-4o
Wind carries seeds to new locations.,gpt-4o design point,Wind carries seeds to new locations.,Mark,GPT-4o
Wisdom comes with age.,gpt-4o design point,Wisdom comes with age.,Mark,GPT-4o
Wisdom sayings often offer guidance.,gpt-4o design point,Wisdom sayings often offer guidance.,Mark,GPT-4o
Words carry weight.,gpt-4o design point,Words carry weight.,Mark,GPT-4o
Words have power.,gpt-4o design point,Words have power.,Mark,GPT-4o
Worker bees contribute to the hive.,gpt-4o design point,Worker bees contribute to the hive.,Mark,GPT-4o
World War I began in 1914.,gpt-4o design point,World War I began in 1914.,Mark,GPT-4o
World Wars reshaped global politics.,gpt-4o design point,World Wars reshaped global politics.,Mark,GPT-4o
Writing lists organizes tasks.,gpt-4o design point,Writing lists organizes tasks.,Mark,GPT-4o
Yarn can be woven into fabric.,gpt-4o design point,Yarn can be woven into fabric.,Mark,GPT-4o
Yoga enhances inner peace.,gpt-4o design point,Yoga enhances inner peace.,Mark,GPT-4o
You only live once.,gpt-4o design point,You only live once.,Mark,GPT-4o
Zoroastrian temples have eternal flames.,gpt-4o design point,Zoroastrian temples have eternal flames.,Mark,GPT-4o
feeling blue; feeling sad.,gpt-4o design point,feeling blue; feeling sad.,Mark,GPT-4o
walking on eggshells; being overly cautious.,gpt-4o design point,walking on eggshells; being overly cautious.,Mark,GPT-4o
